,Dengue,Dengue_sma7,Acumulado_21,Acumulado,Populacao,Rt,Susceptiveis,Densidade_Dem,Precipitacao_sma7,Temp_med_7sma,Temp_min_7sma,Umidade_7sma,Vento_mps_7sma
3872,5,5.6,109,260680,2635469,1.15,2374789,8436,0.0,26.8,23.5,70.7,3.3
3873,6,5.6,115,260686,2635469,1.3,2374783,8436,0.0,26.8,23.4,70.5,3.2
3874,5,5.4,112,260691,2635469,1.15,2374778,8436,0.0,26.8,23.4,70.6,3.2
3875,6,5.4,115,260697,2635469,1.09,2374772,8436,0.0,26.8,23.4,69.9,3.3
3876,5,5.4,118,260702,2635469,1.0,2374767,8436,0.0,26.9,23.4,69.3,3.3
3877,4,5.1,119,260706,2635933,0.9,2375227,8437,0.0,26.8,23.1,69.0,3.3
3878,3,4.9,111,260709,2635933,0.85,2375224,8437,0.0,26.8,23.1,69.7,3.3
3879,3,4.6,105,260712,2635933,0.82,2375221,8437,0.2,26.8,23.3,71.3,3.1
3880,3,4.1,98,260715,2635933,0.74,2375218,8437,0.2,26.8,23.4,71.5,3.0
3881,3,3.9,98,260718,2635933,0.71,2375215,8437,0.2,26.8,23.4,71.9,3.0
3882,3,3.4,97,260721,2635933,0.63,2375212,8437,0.2,26.9,23.5,72.5,3.0
3883,3,3.1,98,260724,2635933,0.58,2375209,8437,0.2,26.9,23.8,72.5,3.0
3884,3,3.0,97,260727,2636397,0.58,2375670,8439,0.2,26.9,24.0,72.7,3.1
3885,3,3.0,95,260730,2636397,0.62,2375667,8439,0.2,26.9,23.8,72.3,2.9
3886,3,3.0,92,260733,2636397,0.66,2375664,8439,0.0,27.0,23.7,71.3,2.9
3887,4,3.1,90,260737,2636397,0.76,2375660,8439,0.0,27.1,23.6,70.3,3.3
3888,3,3.1,87,260740,2636397,0.81,2375657,8439,0.0,27.2,23.8,69.5,3.4
3889,3,3.1,84,260743,2636397,0.92,2375654,8439,0.0,27.2,23.6,69.2,3.6
3890,3,3.1,82,260746,2636397,1.0,2375651,8439,0.0,27.4,23.8,68.8,3.7
3891,3,3.1,79,260749,2636861,1.05,2376112,8440,0.0,27.5,23.8,68.7,3.8
3892,3,3.1,77,260752,2636861,1.05,2376109,8440,0.0,27.5,23.9,68.3,3.8
3893,3,3.1,75,260755,2636861,1.05,2376106,8440,0.0,27.5,23.9,67.6,4.0
3894,3,3.0,72,260758,2636861,0.95,2376103,8440,0.0,27.5,24.0,68.0,3.9
3895,3,3.0,70,260761,2636861,0.95,2376100,8440,0.0,27.6,24.2,68.1,3.7
3896,3,3.0,67,260764,2636861,0.95,2376097,8440,0.0,27.5,24.3,67.6,3.6
